Company_Ticker,Company_Name,Aienstein_Rating,ESG_E,ESG_S,ESG_G,ESG_Summary,Fact_Market_Cap,Fact_Market_Cap_Rating
0LCV,Taiwan Semiconductor Manufacturing,F,,,,,550242.6734,4X
AAP,Advance Auto Parts Inc,F,C,C,C,C,12999.5729,2X
ABMD,Abiomed Inc.,F,D,C,B,C,13810.56631,2X
ACIA,Acacia Communications Inc,C,D,C,B,C,4846.13741,1X
AEE,Ameren Corp.,D,B,C,C,C,22590.37818,4X
AEO,American Eagle Outfitters Inc.,F,C,C,C,C,3275.834347,1X
AG,First Majestic Silver Corporation,A,,,,,3547.132963,1X
AGEN,Agenus Inc,D,D,C,C,C,690.0193492,.25X
AGX,"Argan, Inc.",A,D,C,B,C,638.3469312,.25X
ALRM,Alarm.com Holdings Inc,F,D,C,C,C,3377.932919,1X
AME,Ametek Inc,F,C,C,C,C,31157.26922,4X
AMSF,Amerisafe Inc,F,D,C,B,C,940.5121028,.5X
APAM,Artisan Partners Asset Management Inc,F,B,B,B,B,2504.100022,.5X
APTV,Aptiv PLC,F,B,B,B,B,32109.24903,4X
AR,Antero Resources Corp,A,B,C,C,C,8034.941926,2X
ASGN,ASGN Inc,D,C,B,C,C,6213.105,2X
ATRC,Atricure Inc,D,D,C,C,C,3044.759316,1X
ATRO,Astronics Corp.,A,C,C,C,C,322.5333362,.25X
AVD,American Vanguard Corp.,A,D,D,C,C,588.8472931,.25X
AVT,Avnet Inc.,A,C,C,C,C,4309.502778,1X
AVY,Avery Dennison Corp.,F,B,B,C,B,14182.93759,2X
AWK,American Water Works Co. Inc.,F,B,B,C,C,28807.00068,4X
AXON,Axon Enterprise Inc,F,D,C,C,C,8858.99315,2X
AXTI,AXT Inc,F,D,C,D,D,308.1729588,.25X
AZPN,Aspen Technology Inc.,D,C,C,C,C,9802.616997,2X
AZZ,AZZ Inc,F,C,C,C,C,1240.984767,.5X
BBW,Build A Bear Workshop Inc,D,,,,,298.6689608,.25X
BCPC,Balchem Corp.,F,B,B,B,B,4538.349007,1X
BECN,Beacon Roofing Supply Inc,A,C,C,C,C,4393.978458,1X
BFIN,Bankfinancial Corp,A,D,C,B,C,153.0817385,.25X
BGS,"B&G Foods, Inc",F,C,C,D,C,1778.828678,.5X
BIP,Brookfield Infrastructure Partners L.P,A,B,C,F,D,18529.8326,2X
BLKB,Blackbaud Inc,F,C,C,D,C,2993.601963,1X
BYD,Boyd Gaming Corp.,A,C,C,C,C,7729.9885,2X
CAH,"Cardinal Health, Inc.",A,C,C,C,C,16256.65955,2X
CALM,"Cal-Maine Foods, Inc.",A,C,C,C,C,2279.966776,.5X
CALX,Calix Inc,F,D,C,C,C,2970.350552,1X
CCK,"Crown Holdings, Inc.",A,B,C,C,C,16830.83844,2X
CERS,Cerus Corp.,F,D,C,C,C,969.6913692,.5X
CF,CF Industries Holdings Inc,A,C,B,C,C,20488.27186,4X
CG,Carlyle Group Inc (The),F,C,C,B,B,16766.0596,2X
CI,Cigna Corp.,A,B,C,C,C,82020.33411,4X
CLNE,Clean Energy Fuels Corp,A,C,C,B,B,1783.937064,.5X
CNMD,Conmed Corp.,A,D,C,D,C,4234.743402,1X
COHR,Coherent Inc.,D,C,C,B,C,6531.028615,2X
COLL,Collegium Pharmaceutical Inc,A,D,C,C,C,687.4611085,.25X
CREE,"Cree, Inc.",A,B,C,C,C,9169.312219,2X
CTB,Cooper Tire & Rubber Co.,B,B,C,B,B,3037.779444,1X
DHT,DHT Holdings Inc,A,D,C,B,C,973.9254614,.5X
DHX,DHI Group Inc,D,C,C,C,C,301.9409877,.25X
DOCU,DocuSign Inc,F,D,C,C,C,18788.5655,2X
DOW,Dow Inc,A,B,B,C,B,46528.70185,4X
DXPE,"DXP Enterprises, Inc.",A,D,C,C,C,590.0366746,.25X
EGOV,NIC Inc,A,D,C,B,C,2308.77034,.5X
EMN,Eastman Chemical Co,F,B,B,C,B,14650.95538,2X
ESCA,"Escalade, Inc.",F,D,D,C,D,195.610774,.25X
ETSY,Etsy Inc,F,B,C,B,B,18733.36596,2X
EXP,Eagle Materials Inc.,F,D,D,C,C,5518.8001,1X
EZPW,"EZCorp, Inc.",F,D,C,C,C,316.9260349,.25X
FANG,Diamondback Energy Inc,A,C,C,B,C,23799.50203,4X
FC,Franklin Covey Co.,A,D,C,B,C,679.2745294,.25X
FCFS,FirstCash Inc,A,D,D,C,D,2541.597024,.5X
FDS,Factset Research Systems Inc.,F,C,B,C,C,16530.53129,2X
FI,Franks International N.V.,A,C,C,B,B,119.9086655,.25X
FISV,"Fiserv, Inc.",D,C,C,D,C,66624.41638,4X
FLIR,"Flir Systems, Inc.",A,C,C,C,C,7525.212436,2X
FRO,Frontline Ltd,A,D,C,D,D,1715.969346,.5X
FTI,TechnipFMC plc,A,C,C,C,C,3290.113504,1X
FUN,Cedar Fair L.P.,A,D,C,D,D,3174.422358,1X
GEO,"Geo Group, Inc.",F,C,B,D,C,698.5562439,.25X
GEOS,Geospace Technologies Corp,F,D,C,B,B,77.6967,.25X
GES,Guess Inc.,F,B,B,C,C,1391.372643,.5X
GMED,Globus Medical Inc,D,D,C,B,C,5424.081713,1X
