subIndustryID,composite_ticker
1100,ATF
207,EWRL
47,NCHEF
202,SSS
52,WOLWF
76,USCM
1200,WBIG
36,AERI
253,JAQC
254,AOCT
59,MAAL
41,RENW
1200,SUBD
255,VUNC
1200,YMLP
37,IDTX
60,MDIUY
234,KLOFY
1100,NMP
24,NOTE
201,STRS
36,BIPH
63,EDUC
202,MAC
36,POZN
72,QADI
112,CANX
206,HUMRF
83,PEC
1200,TAGS
206,SGZH
255,KEYW
24,HBEK
36,ABGX
1200,ENGN
26,FABK
1200,FEEU
211,SMEBF
850,WW
8,LPI.UN
77,KTC
11,NLG
13,LFG
1100,MFL
76,OTWO
209,USVO
59,CDLX
26,METF
36,OREX
24,WGNB
150,YIPI
60,CCN
41,MSV
35,PYMXQ
96,SWDHF
8,CA.HTP
234,DMMIF
234,ACPGF
60,SALM
116,TORM
47,SJM
1200,ZKBHF
26,CRFN
234,FMGL
60,GRPFF
1200,IYM
13,LWR
24,RSBI
24,USBN
1100,TGGFF
1200,VMBS
206,CA.CIR
1100,BKK
700,CFSG
245,JENN
1100,AOD
1200,GMF
255,MAGSF
89,POOL
202,SFO
44,TSRYY
209,VISH
108,TYAVY
35,AHP
75,CA.NHC
76,CLRP
207,MGMA
212,RICK
24,UCBH
1200,VGLT
313,INBC
226,ANEN
95,AZUR
9000,CMEC
91,LTOUF
150,MTHR
1200,PBJ
96,MWK
9000,NGAC
13,CWID
223,DTLK
1200,EIS
234,PREIF
1100,NUC
37,PMDX
95,TSAR
1200,TWM
76,ATI
36,SLNO
62,DWA
1200,CHII
36,LFP
212,LTCR
24,NSBK
1200,NFO
36,ETNB
43,AHAA
206,GYPHQ
40,OPTT
72,PPTF
1200,RTHYL
8,CA.AGW
65,GIII
69,BDAY
150,MYCO
43,RTEC
13,SMAN
24,SBCO
53,HAMBQ
223,MHH
47,BCKE
38,VERO
1200,CYB
48,CHFR
9000,GEACF
234,SISK
116,SETPY
114,THTRF
105,WY
74,XYBR
36,CMPI
69,ENC
13,AIZ
155,KUN
11,MRS
75,STXN
150,NTWO
1200,RPG
700,AFCX
36,RLAY
